"X__gid","cod","tipo","cveigecem","nom_mun","deleg","cveinegi","nom_reg","num_reg","uso","tipologia","valm2","distrito_centro","area","distrito1_nombre","distrito1_puntos","distrito2_nombre","distrito2_puntos","distrito3_nombre","distrito3_puntos","distrito4_nombre","distrito4_puntos","distrito5_nombre","distrito5_puntos"
1891,"130","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"151",171079.177077174,"151",100,"0",0,"0",0,"0",0,"0",0
1892,"009","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"151",1142300.97784572,"150",22,"151",78,"0",0,"0",0,"0",0
1893,"127","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"158",590054.731756965,"158",100,"0",0,"0",0,"0",0,"0",0
1894,"183","C2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Comercial medio","Comercial",NA,"147",43895.3785759658,"146",20,"147",80,"0",0,"0",0,"0",0
1895,"157","C2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Comercial medio","Comercial",NA,"146",20420.2013982087,"146",80,"147",20,"0",0,"0",0,"0",0
1906,"026","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"146",4633370.73569573,"146",60,"147",4,"164",36,"0",0,"0",0
1907,"179","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"146",200192.743955745,"146",88,"164",12,"0",0,"0",0,"0",0
1908,"141","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"147",40072.4124960192,"147",86,"158",14,"0",0,"0",0,"0",0
1909,"132","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"147",104504.789700504,"147",100,"0",0,"0",0,"0",0,"0",0
1910,"040","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"168",2113269.07771569,"168",92,"169",7,"171",1,"0",0,"0",0
1911,"152","I2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial ligera","Industrial",NA,"169",26323.7529743761,"169",100,"0",0,"0",0,"0",0,"0",0
1912,"126","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"162",264414.089372486,"161",5,"162",95,"0",0,"0",0,"0",0
1916,"042","I3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial mediana","Industrial",NA,"158",1595957.73656837,"158",86,"159",10,"162",3,"0",0,"0",0
1917,"171","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"168",51997.314329233,"168",99,"171",1,"0",0,"0",0,"0",0
1918,"031","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"147",361914.589892864,"147",100,"0",0,"0",0,"0",0,"0",0
1919,"134","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"147",8702.08039391786,"147",100,"0",0,"0",0,"0",0,"0",0
