X__gid,cod,tipo,cveinegi,tipologia,distrito,area
1508,19,H4,15020,Habitacional,NA,412544.6191
4951,65,A4,15084,Agrícola,NA,10422.93852
1509,16,H3,15020,Habitacional,NA,342192.1165
616,17,H1,15010,Habitacional,NA,720981.2066
1510,58,H3,15020,Habitacional,NA,100327.5926
947,85,A4,15016,Agrícola,NA,1385114.66
1511,55,H3,15020,Habitacional,NA,60766.74566
1512,42,H1,15020,Habitacional,NA,34848.73851
1513,39,I1,15020,Industrial,NA,199966.2828
1501,45,C2,15020,Comercial,NA,229637.5482
1502,46,E1,15020,Equipamiento,NA,16662.5213
689,105,H3,15013,Habitacional,NA,1466920.297
1195,7,H4,15025,Habitacional,NA,69626.48412
690,126,H1,15013,Habitacional,NA,78652.97854
949,125,A4,15016,Agrícola,NA,355735.8875
3529,104,H4,15057,Habitacional,NA,94076.66771
882,46,A4,15016,Agrícola,NA,524003.2276
898,151,G1,15016,Eriazo,NA,328930.9435
664,4,H2,15011,Habitacional,NA,1995232.864
950,42,G1,15016,Eriazo,NA,147801.9761
1514,31,I2,15020,Industrial,NA,189266.8474
3530,132,F1,15057,Forestal,NA,1552649.805
883,47,A4,15016,Agrícola,NA,727960.401
884,90,A4,15016,Agrícola,NA,95993.10763
885,32,H1,15016,Habitacional,NA,367369.3191
617,13,H1,15010,Habitacional,NA,1096386.386
670,1,H2,15011,Habitacional,NA,1009137.733
4903,68,A4,15084,Agrícola,NA,43857.98794
886,157,L1,15016,Especial,NA,25427.79984
1503,60,C3,15020,Comercial,NA,192351.9228
618,34,G1,15010,Eriazo,NA,375517.8437
619,35,F1,15010,Forestal,NA,1034806.842
1625,29,H1,15024,Habitacional,NA,550074.7586
1626,45,C2,15024,Comercial,NA,43433.02182
902,10,H1,15016,Habitacional,NA,1056768.301
1627,24,H2,15024,Habitacional,NA,919680.248
903,109,H2,15016,Habitacional,NA,196261.4169
1628,30,H1,15024,Habitacional,NA,1198032.566
1641,23,H1,15024,Habitacional,NA,734616.3179
1642,16,A1,15024,Agrícola,NA,375667.647
1643,50,A1,15024,Agrícola,NA,877856.2825
1516,33,H3,15020,Habitacional,NA,88883.73076
2327,110,H1,15039,Habitacional,NA,477990.7409
924,4,H1,15016,Habitacional,NA,237314.0709
1515,34,H3,15020,Habitacional,NA,453701.4509
904,12,A1,15016,Agrícola,NA,594208.3371
905,5,H2,15016,Habitacional,NA,359084.506
1594,25,H1,15024,Habitacional,NA,605362.018
587,66,A4,15009,Agrícola,NA,1595255.74
906,6,H2,15016,Habitacional,NA,541258.0409
3573,12,E1,15057,Equipamiento,NA,302800.5562
955,154,A4,15016,Agrícola,NA,1124473.866
671,15,I1,15011,Industrial,NA,1165621.26
1903,10,H2,15033,Habitacional,NA,644330.8091
655,110,H1,15011,Habitacional,NA,8896509.022
5661,108,H5,15099,Habitacional,NA,56914.11196
656,101,H1,15011,Habitacional,NA,107984.6849
592,11,H1,15009,Habitacional,207,1351423.5
663,14,H2,15011,Habitacional,NA,1003043.492
